,name,text
0,2019-09-29 21.18.18 2143620498159075611_대림미술관.jpg,오늘 날씨두 좋구하여 윗동네로 마실 월의마지막주말 대림미술관 하이메아욘
1,2019-09-29 21.21.57 2143622337345774565_대림미술관.jpg,민선 찬스로 대림미술관 나들이 윤아 좋아하는 작품이 가득 완전 신났네 땡스 육아 육아스타그램 라떼파파 육아대디 육아템 아기스타그램 아기 미술관 대림미술관 전시회 서촌 경복궁 미술관나들이
2,2019-09-29 21.28.09 2143625451692077956_대림미술관.jpg,간단하게 즐겼던 브런치 타임 요즘날씨에딱이다 에이치라운지
3,2019-09-29 21.40.14 2143631535127394304_대림미술관.jpg,대림미술관 옆 카페는 최고였음 대림미술관 하이메아욘 숨겨진일곱가지사연 미술관옆집
4,2019-09-29 21.41.05 2143631964733611087_대림미술관.jpg,미술관 나들이 독특한 오브제들로 눈호강한 날 대림미술관 하이메아욘 숨겨진일곱가지사연 미술관 나들이 오브제 스케치 좋아요 일상스타그램 전시회
5,2019-09-29 21.42.57 2143632906287231521_대림미술관.jpg,삼청동 블루보틀 대림미술관 오늘 진짜 날씨가 끝내줬다 바람은 시원하고 햇볕은 따듯하고 현정언니와 데이뚜 노세노세 젊어노세 저 이제 시간 많아요어서들 만납시다 카페 카페스타그램 삼청동블루보틀 오오티디 미술관 하이메아욘
6,2019-09-29 21.50.10 2143636533092389047_대림미술관.jpg,오랜만에 언니랑 데이트 하이메아욘 대림미술관 악뮤청음회 사람구경 하나도 안 들려서 결국 로 봤네
7,2019-09-29 21.59.12 2143641086856534647_대림미술관.jpg,대림미술관 하이메아욘전시 트라팔가르의체스경기 작품을 보러오랜만에 미술관 월 마지막주에 여름날씨
8,2019-09-29 22.01.48 2143642394734079003_대림미술관.jpg,다시 여름으로 돌아간 것 같은 오늘 지인찬스로 대림미술관 하이메아욘숨겨진일곱가지사연 전시를 보러갔다 이라는데앤서니브라운과 달리 복구리에게 어렵진 않을까재미없어하지 않을까 걱정했던 것은그야말로 기우그림에 있는 동물과 식물들 찾고움직이는 것에 반응하고 굳이 어렵게 설명하고알려주려고 할 필요없는 듯예술은 그야말로각자에게 주는 영감도 다 다르고아이가 받아들이는대로 자연스럽게 느끼게 내버려두면 그 자체로 의미가 있는 것 같다 서울나들이 미술관나들이 미술관데이트 서촌미술관 문화생활 주말일상 아이와함께
9,2019-09-29 22.03.43 2143643350362832895_대림미술관.jpg,프로모션 종로 대림미술관 하이메이욘
10,2019-09-29 22.22.22 2143652741694942654_대림미술관.jpg,대림미술관 하이메아욘 귀욥 월휴가 잘다녀올께요
