,name,text
0,2018-04-19 18.31.13 1760850969274639363_leeum.jpg,직원들과 #리움미술관 에서 #관람중직방생활은 이렇게~#슬기로운직장생활 ~ㅋㅋ.......#이태원 #미술관 #leeummuseum#leeum #관람 #나인뮤즈스튜디오#고미술 #현대미술 #그림 #작가#화가
1,2018-04-19 18.46.39 1760862584226765998_leeum.jpg,Olafur Eliasson - Gravity Stairs @ Leeum. #leeum #leeummuseum #olafureliasson #contemporaryart #installation #lightart #artmuseum #art
2,2018-04-19 18.50.05 1760864316642138197_leeum.jpg,At Leeum. These pieces are outside so you don’t even need to pay to see them! #anishkapoor #leeummuseum #leeum #contemporaryart
3,2018-04-19 19.13.07 1760875903079698519_leeum.jpg,#leeum #art #museum
4,2018-04-19 23.34.03 1761007237465276275_leeum.jpg,Picture I took at #leeum #museum #seoul #miror #sculpture #art #artofvisuals #picoftheday #instagood #citygrammers #shotzdelight #ig_color #gramslayers #moodygrams #master_shots #theimaged #urbanromantix #globalcapture #viewbugfeature #viewbug
5,2018-04-20 13.50.12 1761438154823198794_leeum.jpg,#leeum
6,2018-04-20 14.08.51 1761447535686135616_leeum.jpg,There’re thousands way to take a selfie here #leeum
7,2018-04-20 17.25.38 1761546585451092629_leeum.jpg,.오랜만에 콧바람🌿.#리움미술관 #leeum#콧바람에미세먼지추가#서둘러도서관으로가자#완전놀고싶다놀고싶어
8,2018-04-21 02.04.21 1761807659534418696_leeum.jpg,"큰 나무와 눈 (아니쉬 카푸어, 2011)라고 합니다....😂-#이태원 #한강진 #리움미술관 #큰나무와눈 #Itaewon #Leeum #TallTreeandtheEye #6DMark2 #24105mmF4L"
9,2018-04-21 14.22.06 1762178988287875721_leeum.jpg,Miracle is coming soon💰 #leeum #leeummuseum #seoul #great #goodvibes #swagger #art
10,2018-04-21 15.24.29 1762210378953036142_leeum.jpg,：💙Beautiful memories in Seoul.一些關於旅行的記憶，在首爾。這趟旅程最愛最愛的照片之一，還有在照片裡好喜歡的攝影師。*#每人都是每人眼中的風景#korea #seoul #welltravelled #passionpassport #seoul_korea #leeum #traveladdict #travelgram#samsung #galaxys9 #kk_s9 #dowhatyoucant #withgalaxy #samsungmobile #手機界的單眼
11,2018-04-21 18.33.11 1762304863419882387_leeum.jpg,날씨가 미친듯이 좋아서 2탄! 그냥 햇살을 맞으며 바람따라 걸어본다 ...#한남동 #대사관이즐비한동네 #이태원 #외국인이즐비한동네 #리움 #리움미술관 #leeum #서울하늘맑음🌞
12,2018-04-21 19.03.08 1762320432550958457_leeum.jpg,Twilight Zone/ Heading towards the unknown. #leeum #contemporaryart #futureisunknown #seoul #southkorea #itaewon #watchyourstep
13,2018-04-21 19.20.55 1762329380519167805_leeum.jpg,리움미술관🎫.#leeum #리움 #미술관 #셀카 #selfie
14,2018-04-21 19.37.47 1762337870125653586_leeum.jpg,One ~ ๑#leeum#museum#itaewon
15,2018-04-21 21.57.26 1762408157172379363_leeum.jpg,Leeum #leeum #samsung #museum #seul #korea
16,2018-04-22 03.07.05 1762564009172099526_leeum.jpg,#pstagram 👍🏻 awesome place in seoul 👏🏻😍 #leeum#samsungartmuseum#itaewon#museum#arts#exhibition#seoul#southkorea#artwork#artaholic#yellow#lights#springtrip2018#southkoreatravel#artshape#seoulmustvisit
17,2018-04-22 06.26.33 1762664379544820309_leeum.jpg,#美術館#leeum#サムスン美術館 #三星美術館#梨泰院 #이태원#ソウル#서울#seoul#韓国#한국#korea#canonpowershot
18,2018-04-22 09.19.17 1762751343447225244_leeum.jpg,##Leeum
19,2018-04-22 09.42.47 1762763176828891094_leeum.jpg,"LeeumSamsung Museum of Art Hannam-dong by the Hangang River. Photo courtesy of Leeum Museum.Korea has more private art museums than any other country, according to the extensive research compiled by Larry’s List.Leeum was founded by Lee Byeong-Cheol (deceased), a former president of Samsung, whose name is incorporated in the name of the museum complex. In addition to the impressive collections, the compound is famous for commissioning renown architects from three different countries to create the signature buildings. #leeum  #leeummuseum #museo #privatemuseum #korea #Seoul #privatemuseums #koreanart #modernart #contemporaryart #hangang #namsan #koolhaas #botti #jeannovel #glassandsteel #buddhistart #ceramics #samsung #samsungmuseumofart"
20,2018-04-22 09.59.34 1762771620969381333_leeum.jpg,"LeeumMuseum One of the Leeum compoundSeoul, Korea(See PAMW companion posts on IG for this project). Swiss architect Mario Botta designed the hexahedron and a reverse cone to feature the traditional Korean art collection in a retrospective survey of Korea’s ceramics, metal work, Buddhist art, jewelry and more. Photo courtesy of The Leeum Museum.#privatemuseums #seoul #art #korea #museums #mariobotta #architecture #collection #koreanart #buddhistart #ceramics #paintings #metalwork #samsung #leeum #leeummuseum"
21,2018-04-22 14.27.31 1762902577568497238_leeum.jpg,韓国で昼間やることなかったらサムスン美術館がおすすめ！写真撮れたり撮れなかったり！#韓国 #ソウル #korea #サムスン美術館 #samsungmuseum #leeum #謎の装置で未来から来た感
22,2018-04-22 15.09.49 1762927780418432247_leeum.jpg,Louise Bourgeois @ #leeum
23,2018-04-22 16.24.15 1762965239597731488_leeum.jpg,三星美術館 Leeum🙂#三星美術館 #leeum #museum #neon #neonsign #art #美術館 #travel #travelgram #韓国 #korea
24,2018-04-22 16.49.59 1762978194099803899_leeum.jpg,신문지 잘라서 만들었던 리움의 로툰다지금도 저런 하나하나 조각으로 전체를 만들어나가는 방식들에 재미를 느끼는 것 같다...#architecture #design #leeum #museum #mariobotta #paperart #건축 #디자인 #리움 #박물관 #마리오보타 #종이아트 #로툰다
25,2018-04-22 19.51.19 1763069462189050032_leeum.jpg,Stairs of gravity #리움미술관..#daily #dailygram #dailylife #dailypic #leeum #circle #mirror #decalcomanie #dailylook #ootd #fff #f4f
26,2018-04-22 19.57.38 1763072641463125126_leeum.jpg,오느른 #리움미술관 #🎨 비가 너무 많이와서 이태원에 오래 못있었다ㅠㅅㅠ..#데일리 #데일리그램 #daily #dailygram #전시 #전시스타그램 #exhibition #리움미술관 #leeum #일상 #일상스타그램 #소통 #선팔 #맞팔 #f4f
27,2018-04-22 20.11.32 1763079632619438265_leeum.jpg,#pstagram 👍🏻 leeum museum sculpture ~ งานอะคาเดมีแฟนเทเชียก็มา 😆 #leeum#leeummuseum#samsungartmuseum#sculpture#artwork#seouladdicts#seoulmustvisit#seoulartmuseum#bluesky#itaewon#seoul#southkoreatrave#springtrip2018#artaholic#sculpturelovers
28,2018-04-22 21.57.11 1763132808534393975_leeum.jpg,When you mix stairs with art 💡#art #museum #light #yellow #leeum #seoul #seoullovers
29,2018-04-22 21.58.06 1763133274756145984_leeum.jpg,The top #leeum #seoul
30,2018-04-22 22.03.08 1763135803997075657_leeum.jpg,Alchemy #art #stairscase #leeum #museum #modernart #seoul #korea
31,2018-04-22 23.11.42 1763170317164268008_leeum.jpg,#koheinawa#leeum#leeummuseum#deer#pixcel
32,2018-04-22 23.41.10 1763185143901724417_leeum.jpg,Wanderlusting together. #leeum #leeummuseum #seoul #asia #korea #southkorea #marriage #couple #mrosovskytravels #husbandandwife #worldtravel #wanderlust #spring #whiteflowers
33,2018-04-23 00.42.29 1763215492711122149_leeum.jpg,#리움미술관 #👍🏻오빠가 순록 등에 종기났ㄷHㅠㅅㅠ..#데일리 #데일리그램 #daily #dailygram #전시 #전시스타그램 #exhibition #리움미술관 #leeum #일상 #일상스타그램 #소통 #선팔 #맞팔 #f4f
34,2018-04-23 00.51.46 1763219775332091546_leeum.jpg,South Korea Day 2. #Seoul #SouthKorea #Leeum #Museum #Samsung #Art
35,2018-04-23 00.55.56 1763222780550903355_leeum.jpg,WE STAN SAVAGE LIAM👊.@harrystyles @niallhoran @zayn @liampayne @louist91 @onedirection #twitter #tweet #reply #savage #savageliam #savagetweet #savagereply #metroentertainment #liampayne #payno #leeum #liamjamespayne #james #payne
36,2018-04-23 02.03.46 1763256921009643436_leeum.jpg,#韓国#韓国旅行#韓国生活#korea#l4l#韓国好きな人と繋がりたい#韓国コスメ#韓国カフェ#おしゃれさんと繋がりたい#instagood#leeum#미술#미술관#아트#美術館#museum#서울
37,2018-04-23 09.38.33 1763485821300623136_leeum.jpg,夢を覚えてるなんて久しぶりなんだけど。悲しくて少し辛い夢を見てさ、でもどうやらその夢は自分が変わりたいって思っているらしいのだ。まぁ私も変わらなきゃと思っていたし、そのタイミングなんだろう！！変わるね！って言った方が変われそうだから言っとくね。夢は全然グッドナイトベイビーズじゃなかった。#ちなみに #掛け布団は #全てベッドの下に #投げ捨ててました #寒かった #夢 #写真は #梨泰院 #seoul #artmuseum #leeum
38,2018-04-23 12.22.55 1763568551236520766_leeum.jpg,#leeum #leeummuseum
39,2018-04-23 13.12.33 1763593527144436551_leeum.jpg,"#ArchitectureNo pains, no gains. 上り坂があるなら、下り坂もあるよね。"
