,name,text
0,2018-04-19 18.31.13 1760850969274639363_leeum.jpg,직원들과 리움미술관 에서 관람중직방생활은 이렇게 슬기로운직장생활 이태원 미술관 관람 나인뮤즈스튜디오 고미술 현대미술 그림 작가 화가
7,2018-04-20 17.25.38 1761546585451092629_leeum.jpg,오랜만에 콧바람 리움미술관 콧바람에미세먼지추가 서둘러도서관으로가자 완전놀고싶다놀고싶어
8,2018-04-21 02.04.21 1761807659534418696_leeum.jpg,큰 나무와 눈 아니쉬 카푸어 라고 합니다 이태원 한강진 리움미술관 큰나무와눈
11,2018-04-21 18.33.11 1762304863419882387_leeum.jpg,날씨가 미친듯이 좋아서 탄 그냥 햇살을 맞으며 바람따라 걸어본다 한남동 대사관이즐비한동네 이태원 외국인이즐비한동네 리움 리움미술관 서울하늘맑음
13,2018-04-21 19.20.55 1762329380519167805_leeum.jpg,리움미술관 리움 미술관 셀카
17,2018-04-22 06.26.33 1762664379544820309_leeum.jpg,이태원 서울 한국
24,2018-04-22 16.49.59 1762978194099803899_leeum.jpg,신문지 잘라서 만들었던 리움의 로툰다지금도 저런 하나하나 조각으로 전체를 만들어나가는 방식들에 재미를 느끼는 것 같다 건축 디자인 리움 박물관 마리오보타 종이아트 로툰다
25,2018-04-22 19.51.19 1763069462189050032_leeum.jpg,리움미술관
26,2018-04-22 19.57.38 1763072641463125126_leeum.jpg,오느른 리움미술관 비가 너무 많이와서 이태원에 오래 못있었다 데일리 데일리그램 전시 전시스타그램 리움미술관 일상 일상스타그램 소통 선팔 맞팔
33,2018-04-23 00.42.29 1763215492711122149_leeum.jpg,리움미술관 오빠가 순록 등에 종기났 데일리 데일리그램 전시 전시스타그램 리움미술관 일상 일상스타그램 소통 선팔 맞팔
36,2018-04-23 02.03.46 1763256921009643436_leeum.jpg,미술 미술관 아트 서울
41,2018-04-23 15.58.02 1763676822924447105_leeum.jpg,파란하늘 리움에서 주말 데이트 셀피그램 셀스타그램 패션스타그램 마르니 구찌라이톤 리움 데이트그램 서울여행 럽스타그램 셀스타그램 좋아요반사 선팔하면맞팔 맞팔
43,2018-04-23 17.53.34 1763732473941242654_leeum.jpg,전주웨딩 결혼준비 웨딩촬영 전주리움 리움웨딩 신부 드레스 결혼 사진
44,2018-04-23 18.02.08 1763736544227939639_leeum.jpg,월의 야외촬영 전주웨딩 전주여행 꽃 신부 신랑 웨딩 결혼준비 전주리움 월 봄 야외촬영 웨딩촬영 결혼
45,2018-04-23 20.59.23 1763828009155948338_leeum.jpg,박물관 리음 삼성 서울
49,2018-04-24 00.12.28 1763925673455519117_leeum.jpg,리움미술관 전시 미니멀리즘 미니멀라이프 주택리모델링 거실인테리어 주방인테리어 아파트인테리어 아파트리모델링 인테리어스타그램 인테리어 인테리어소품 인테리어가구 인테리어데코 주택인테리어 세덱 라꼬르뉴 키친바흐 카르텔 비트라 모벨랩 구비체어 판텔라 루이스폴센
51,2018-04-24 10.20.07 1764225604176856294_leeum.jpg,서울구경 서울구경 이태원 리움미술관
52,2018-04-24 18.41.19 1764483781757369856_leeum.jpg,그때와 오늘 리움 그리고 오랜만에
54,2018-04-24 23.22.23 1764622299813501623_leeum.jpg,한국여행
56,2018-04-25 02.19.15 1764714268836372670_leeum.jpg,리움 서울 삼성
58,2018-04-25 09.34.35 1764933327519062094_leeum.jpg,부모님서울방문 스튜디오블랙 리움 미미면가
69,2018-04-27 02.31.35 1766163557526688021_leeum.jpg,리움미술관 이중섭 박수근부터 이불 김환기 드 쿠닝 자코메티 마크 로스코 프랜시스 베이컨 데미안 허스트 바스키아까지 아 진짜 아무 정보 없이 갔은데 너무너무 대단한 컬렉션 세련된 건물 천천히 관람하고 음미하는 여유 조용함 교수님 휴강감사합니다 전시회 전시스타그램 전시회추천 전시회관람 리움
72,2018-04-27 11.43.27 1766446923857117877_leeum.jpg,마음이 편안함
77,2018-04-28 16.40.59 1767322317723032471_leeum.jpg,임직원 찬스 삼성 리움미술관 한남동 데이트
79,2018-04-28 19.02.30 1767393535260384135_leeum.jpg,삼성미술관
80,2018-04-28 22.42.40 1767504359267336540_leeum.jpg,하늘하늘
81,2018-04-29 00.11.19 1767548976946686343_leeum.jpg,리움
89,2018-04-29 23.48.25 1768261606779036496_leeum.jpg,삼성미술관
95,2018-04-30 14.24.51 1768703353082239762_leeum.jpg,이태원 서울 이태원
96,2018-04-30 14.26.02 1768703947373211245_leeum.jpg,서울 이태원
97,2018-04-30 14.29.46 1768705825859410446_leeum.jpg,서울 이태원
98,2018-04-30 14.36.43 1768709321048220195_leeum.jpg,서울 이태원
102,2018-04-30 17.18.07 1768790543796824700_leeum.jpg,나어딨게 셀피 스냅 인물 한남동 리움
104,2018-04-30 21.39.44 1768922231538090460_leeum.jpg,약 년만에 리움 플라스틱 컵으로 만든 작품이라는데 넘나리 느낌이씀 방에 걸고시퐁 리움 미술관 이태원 최정화 연금술
110,2018-05-01 13.09.56 1769390420653036310_leeum.jpg,서울 이태원
111,2018-05-01 13.16.55 1769393934296966590_leeum.jpg,서울 이태원
112,2018-05-01 13.20.02 1769395502790558861_leeum.jpg,서울 이태원
