,name,text
0,2019-08-04 01.30.07 2102435027510849032_국립현대미술관서울관.jpg,".#박서보전 @mmcakorea""지칠줄 모르는 수행자"" 많은 노력 끝에한번 더 정제된 담백한 미를 이끌어낸작가의 힘이 느껴진 전시...#박서보전 #국립현대미술관서울관 #mmca #8월전시 #삼청동 #서울나들이 #힐링 #artmuseum #exhibition"
1,2019-08-04 01.40.03 2102440026383012592_국립현대미술관서울관.jpg,".소나기 오는 무더운 날,매일 똑같은 일상속 소소한 기쁨과 힘듦을 나누는 친구들과 기분좋은 힐링타임🌦...#박서보전 #국립현대미술관서울관 #mmca #8월전시 #삼청동 #서울나들이 #힐링 #artmuseum #exhibition"
2,2019-08-04 04.47.32 2102534391996741747_국립현대미술관서울관.jpg,응~ 눈치게임 실패^_^  성공은 언제 🤔
3,2019-08-04 07.39.52 2102621122806420139_국립현대미술관서울관.jpg,이번 여름휴가는 서울에서 아이들과~삼청동 #블루보틀 #국립현대미술관서울관
4,2019-08-04 10.06.28 2102694909538739555_국립현대미술관서울관.jpg,직접봐야 작품에서 느껴지는 감동이 더 큰것같다.한지를통해 스며든 색감에서.. 재질성에서 수행의 시간이 느껴지고 여유가 찾아지는듯하다.. #뮤지엄고어#국립현대미술관서울관 #박서보회고전 #지칠줄모르는수행자#앵포르멜#추상 #체념#괴정#근본#반복#MMCA#이우환#김창렬#김환기#데이비드호크니
5,2019-08-04 10.51.30 2102717582050955596_국립현대미술관서울관.jpg,"National Museum of Modern and Contemporary Art (MMCA), Seoul.국립현대미술관 서울관. 그간 서울대공원 옆 과천관만 많이 가봤는데 어제 삼청동에 갔다가 나오는 길에 눈에 띄길래 들어가봄. 미술관을 둘째만큼 좋아하지 않는 첫째와 함께였는데, 자기가 먼저 가보자고 할만큼, 이곳에 호기심이 생겼나보다.의외로 지하공간이 많이 있어 내부 규모가 컸고, 매우 멋졌다. 작품도 작품이지만 미술관 공간 자체에 감동받을 정도 ㅋㅋㅋㅋ #구름 #국립현대미술관서울관 #서울여행 #삼청동 #서울 #아이와여행 #국내여행 #미술관 #seoul #korea #mmca #nationalmuseumofmodernandcontemporaryartseoul #travelwithkid #galaxys105g"
6,2019-08-04 12.49.32 2102776981748912148_국립현대미술관서울관.jpg,집 대신 그림 한 점?줄 서기 싫어 옆집으로#박서보_지칠줄모르는수행자 #국립현대미술관서울관 #블루보틀 #오설록
7,2019-08-04 12.54.54 2102779685657474544_국립현대미술관서울관.jpg,"어떤 일이 있더라도 응원해주는 친구들.한단계 더 넘어서 힘든 점도 진정으로 나누고 더 깊은 공감을 얻을 수 있게 되어가고 있다. 솔직하게 대해도 오해하지 않을 수 있는데이렇게 되는데 왜이리 오래걸렸을까 싶으면서도오래 걸렸기 때문에 이렇게 되었을수도 있고과거의 우리도 다들 나름의 최선을 다해왔었을 것이라고 믿어야한다. 앞으로 어떻게 될지 모르는 인생에서정말 든든하고 감사하다.함께 갔던 전시회 #박서보전 에서 맘에 들었던 작품들인데, 화가도 우리 나이때는 전혀 다른 풍의 작업을 하고있어서 이런 작품이 나올지는 예상하지 못했을 것이다. #국립현대미술관 #국립현대미술관서울관 #박서보 #지칠줄모르는수행자"
8,2019-08-04 13.06.15 2102785399450941106_국립현대미술관서울관.jpg,Mood- 🔥 x @monkgru x🔥•••비슷한 취향Please let us know if you seriously hate us to upload yours 🙏🏻
9,2019-08-04 14.24.04 2102824564399634185_국립현대미술관서울관.jpg,이번 서울여행은 어쩌다보니 미술관투어1일차 #국립현대미술관서울관2일차 #예술의전당#베르나르뷔페 는 어릴 적 보던 느낌 그대로.
10,2019-08-04 14.47.49 2102836516137238200_국립현대미술관서울관.jpg,#국립현대미술관서울관 #감성충전같이 간 친한 동생의 뒷모습 도찰^^네델란드에서 파인 주얼리를 전공한 이 동생은 언니같이 어른스러운 면이 있고 웃음 코드도 잘 맞아 함께 얘기하며 웃고 감탄하며 신선한 시간을 보낸 하루Thanks. Luv it! 💕..#미술관#박서보#지칠줄모르는수행자#아스거욘 #대안적언어#일상
11,2019-08-04 15.36.44 2102861140661685138_국립현대미술관서울관.jpg,#국립현대미술관서울관 #박서보 #모노크롬회화 #묘법  #반국전전 #비구상 보라색자수정반지를 낀 원로화가 박서보작가.  작가의 캔버스는 현대인의 고민을 빨아들이는 흡인지가 되어야 한다고 박서보작가는 말한다  행위의 무목적성 반복성 물성과정신 의 세가지 합의 가 단색화의 요체이다평면으로의 회귀 #단색화  30*40센티로 물로 오린 삼겹한지를 두달간 물린 후 붙이고 8B연필로 고랑을 만드는 작업은 자신을 비워내기 위함이라고 한다 #Ecriture
12,2019-08-04 16.00.12 2102872945076937778_국립현대미술관서울관.jpg,#국립현대미술관서울관  #경복궁  #인사동카페
13,2019-08-04 16.23.11 2102884519215814970_국립현대미술관서울관.jpg,내가 좋아하는 10호와 20호 한지 묘법 작품이 많이 없어서 아쉽다.#국립현대미술관서울관 #박서보전
14,2019-08-04 16.54.00 2102900033409348271_국립현대미술관서울관.jpg,다섯 시간 동안 갈 수 있는 곳은 다 갔다👻 시간 되면 집에 가야하는 신데렐라😂#블루보틀삼청 #국립현대미술관서울관 #카페노티드 #다운타우너안국
15,2019-08-04 17.09.10 2102907664409566589_국립현대미술관서울관.jpg,"+걸어서 미술관, 박물관, 도서관 이동이 가능한 동네날씨만 좀 덜 더웠어도 좋았을텐데무더위와 소나기를 피해 열심히도 다녔다!옛거리는 빈상가가 넘치고공공기관과 대기업만 남아있는게 인상적_#기록열사 #정부자전담촬영기사 #국립현대미술관서울관 #한국민속박물관 #어린이박물관#디지털아카이브"
16,2019-08-04 17.18.41 2102912455345598235_국립현대미술관서울관.jpg,오랜만의 문화생활이자동훈과의 첫 미술관-지칠줄 모르는 수행자-변하지 않으면 추락한다.그러나 변하면 또한 추락한다.-둘다 나에게 필요하고 와 닿은 말-그리고 예술적 영감이 자꾸 떠오른다는동훈남편과그림을 사고 싶은 강한 충동을 느낀 나는황급히 집에 돌아왔다고 한다🤭#박서보전 #국립현대미술관서울관 #mmca#미술관데이트#삼청동#너무더운날☀️🌡
17,2019-08-04 17.25.58 2102916115521096335_국립현대미술관서울관.jpg,"""예술 작품의 가치는 보는 이에 달려 있다. 작품은 관객의 마음 속에서 일어나는 영적인 힘 보다 더 큰 가치를 가지고 있지 않다.""..#아스거욘 #국립현대미술관서울관 #mmca #전시회 #그림공간비채"
