,name,text
0,2019-10-05 20.44.13 2147951996391675319_국립중앙박물관.jpg,🦁🦁💃🏻🕺🏻북청사자놀음 @국립중앙박물관.#shotoniphone #shotoniphonexsmax #북청사자놀음 #국립중앙박물관
1,2019-10-05 21.07.58 2147963949025510093_국립중앙박물관.jpg,ㆍ통일신라 몬딱 내 스톼일ㆍ자랑스러운 나의 나라ㆍ#국립중앙박물관 #선사시대만 두시간
2,2019-10-05 21.08.18 2147964122988469336_국립중앙박물관.jpg,사진일기_2019092_국립중앙박물관 올라가는 길근래에 직접찍은 사진을 올리기가 머뭇거리고 있었다. 내가 찍은 사진이 못나보였다. 그 시즌은 넘어갔다!내사진 이뿌다 역시 나는 풀때기 체질인거같아😝#국립중앙박물관 #대나무길 #나무사진 #사진일기 #사진소통 #연습사진 #사진연습 #갤럭시노트10 #폰사진자랑
3,2019-10-05 21.23.06 2147971566149981269_국립중앙박물관.jpg,ㆍ우리가 역사를 잊지말아야 하는 이유수백만가지가 되는 우리모두의 이유입니다ㆍ가슴 속 피어오르는 이노무 열정담달에는 조선이다!고종황제의 사진을 보노라니내가 명성황후 빙의라도 된듯이울컥울컥ㆍ아들은 이제야 선사시대시작너 다음은 삼국이다ㆍ#역사를잊은민족에게미래는없다#국립중앙박물관 #아들의 나라사랑을 응원해요#한달에 한번씩#도전하기#올겨울은 역사공부#애국심뿜뿜
4,2019-10-05 21.28.01 2147974037257993392_국립중앙박물관.jpg,S.Y story....#토요일 #신나는토요일 #나들이#세아들과함께 #가족나들이 #국립중앙박물관 #한글박물관 사진에는 없지만 #봉산사자탈춤 넉살좋은 둘째 손 번쩍 들고 무대진입..#마블러스모션 #풍선아트 ..#신난다 #즐겁다 #재미난다#엄마는힘들다 #일상 #아들맘일상 #육아일상 #육아#화창한어느가을날
5,2019-10-05 21.30.29 2147975279696257672_국립중앙박물관.jpg,#국립중앙박물관#조선 #실경산수화 #강세황 #김홍도 #정선
6,2019-10-05 21.33.11 2147976639429820177_국립중앙박물관.jpg,#가족 #나들이 #주말 #국립중앙박물관 #국립한글박물관 #한글날 #반짝반짝김도윤 #문화탐방 #교양쌓기 #에르투리아특별전 #남양주 #덕소 #행복하게살자
7,2019-10-05 21.36.12 2147978161694423337_국립중앙박물관.jpg,오늘은 #토요일 엄마 아빠 회사 안가고 주안이도 어린이집 안가는날. 토요일 오전은 무조건 가족 외출이닷! 오늘 갈 곳은 #국립중앙박물관 #가족스타그램 #주말일상 #기대에찬눈빛 #외출사랑
8,2019-10-05 21.39.34 2147979853423548683_국립중앙박물관.jpg,"#딸그램👯 #아들그램 #국립중앙박물관 #꿈아띠체험관 #아빠없이외출 잘놀아준 채율,서준 #모래놀이 -채율이가 그린 엄마얼굴♡"
9,2019-10-05 21.45.59 2147983080657527754_국립중앙박물관.jpg,다음주에 다시 도전 😇🤘🏻 #국립중앙박물관 #어린이박물관 #입구만찍고돌아옴
10,2019-10-05 21.49.31 2147984864326393170_국립중앙박물관.jpg,#세종1446 .191005 #뮤지컬 #용극장 #남경주 #국립중앙박물관 #이촌역 #세종
11,2019-10-05 21.54.56 2147987585574526735_국립중앙박물관.jpg,가족들과 서울나들이처음가본 국립중앙박물관이 너무 멋졍!다들 행복하게 찍혔는데나는 왜 이렇게 찍어준거얌 엄마..?#게슴츠레#국립중앙박물관 #서울나들이
12,2019-10-05 22.04.21 2147992331723473983_국립중앙박물관.jpg,국립중앙박물관🏛#국립중앙박물관#로마이전에트루리아#가야#데이트#주말
13,2019-10-05 22.04.28 2147992389655255872_국립중앙박물관.jpg,세종 1446🌷 #뮤지컬#세종1446#1446#정상윤#남경주#정연#이경수#박정원#이지석#국립중앙박물관
14,2019-10-05 22.06.43 2147993518735723024_국립중앙박물관.jpg,#유로자전거투어 로 #국립중앙박물관
15,2019-10-05 22.09.36 2147994969225330669_국립중앙박물관.jpg,#국립중앙박물관 에트루리아 전 어느새 오디오북을 조작할 정도로 자랐다 설명해줄 필요가 없으니 편해져서 좋은건지 아쉬운건지 흠...
16,2019-10-05 22.11.24 2147995878492042468_국립중앙박물관.jpg,"191005 세종, 1446.'나는 들판의 이름없는 꽃들을 부르고자 이 글자를 만든다.이름없는 꽃인 어린 백성들을 어루만져주고자 이 글자를 만든다.'..무대배경,넘버,배우분들,앙상블,오케스트라 뭐 하나 빠짐없이 놀라웠던 극. 무용과 연기,보컬 전부 정말 많이 배운 무대. 당시 세종이 세자책봉부터 겪었던 어려움과 훈민정음 창제까지 있었던 수많은 희생, 관리들의 부정부패 등을 검무와 무용들을 통해 정말 잘 표현하였다. 배우님들(특히 세종 역'정상윤' 배우님)의 감정호소력에 몰입이 잘되었고 각자의 목적을 가지고 움직이는 모습으로 자신만의 이야기를 풀어내어서 각 역할에 더욱 집중할 수 있었다.<진짜 여기 무용맛집>P.S:내일은 벤허다#세종1446#훈민정음#세종대왕#한글#무용맛집#서울#이촌#국립중앙박물관#극장#용#대극장#뮤덕#뮤배지망생#고2"
17,2019-10-05 22.22.53 2148001658470015941_국립중앙박물관.jpg,이쁜 사진 감사합니당📷_#사진촬영 #스냅사진 #스냅 #개인스냅 #데일리룩 #데일리 #일상 #국립중앙박물관 #피팅모델 #모델 #촬영 #고3 #직장인 #좋아요반사 #맞팔 #선팔 #피팅 #프리랜서모델 #옷스타그램크롭 #개인화보
18,2019-10-05 22.28.49 2148004642944893372_국립중앙박물관.jpg,#국립중앙박물관#우리강산을그리다#실경산수화#굿즈의노예#박물관굿즈#일상#데일리#문화생활
19,2019-10-05 22.45.50 2148013211528760402_국립중앙박물관.jpg,서울 이틀날~~원래 집이 서울인듯 걷기...#교육여행#국립중앙박물관 꼬맹이들 미션~완수~~최고^^#일월오봉도 귀동냥공부~~#한글박물관 유익한 시간~~국사책이 내눈에...몸은 피곤해도 잘온듯...
20,2019-10-05 22.46.41 2148013637680563926_국립중앙박물관.jpg,"[세종1446 & 글입다 공방].HJ컬쳐와 글입다 공방의 콜라보레이션으로 탄생한, 곤룡포 속에 담긴 세종의 메시지 ‘세종의 서한’ 세종대왕의 일대기를 담은 뮤지컬 ‘세종 1446’의 MD로 일월오봉도 손수건 + 메탈스티커 + 엽서 5종 세트 + 전통 족자 떡메모지 + 책끈갈피(책끈에 끼워 사용하는 책갈피)의 알찬 구성으로 준비되었습니다.세종의 서한은 국립중앙박물관 용극장 세종1446 MD 부스에서 만나보실 수 있습니다.#세종의서한 #세종1446 #1446 #뮤지컬1446 #뮤지컬세종1446 #국립중앙박물관 #용극장 #hj컬쳐 #글입다 #글입다공방 #뮤지컬MD #뮤지컬굿즈 #굿즈 #세종대왕 #한글 #한글날 #곤룡포"
21,2019-10-05 22.52.15 2148016435490707874_국립중앙박물관.jpg,10월2일~~5일 서울여행#서울시티투어#국회의사당#서대문형무소#청계천#국립중앙박물관 어린이 박물관
22,2019-10-05 22.52.55 2148016772551667358_국립중앙박물관.jpg,뮤지컬 내사랑😍#세종1446 #뮤지컬 #연극#국립중앙박물관 #세종 #세종대왕 #장영실#뮤지컬은 #언제나 #즐거워#공연 #리허설 #관람중
23,2019-10-05 22.53.16 2148016950725813118_국립중앙박물관.jpg,-최애 장소 중 한 곳수 십 번을 와도 새로운 곳굿즈를 쓸어 담고 싶지만 생각보다 비싼 곳앞으로도 자주 가자고😀..#국립중앙박물관 #이촌
24,2019-10-05 23.01.58 2148021327684365097_국립중앙박물관.jpg,#국립중앙박물관 #문구 #특별한양장수첩 #꽃과나비 #분홍 #고급스러운느낌  #입체유광처리 #영문설명 #선물용 으로 추천  #남나비 #남계우 #조선말기 #선비화가 #종이 #금속 #나비 #실책갈피 #화첩도
25,2019-10-05 23.07.46 2148024250803735518_국립중앙박물관.jpg,"#Repost @wearingeul with @get_repost・・・[세종1446 & 글입다 공방].HJ컬쳐와 글입다 공방의 콜라보레이션으로 탄생한, 곤룡포 속에 담긴 세종의 메시지 ‘세종의 서한’ 세종대왕의 일대기를 담은 뮤지컬 ‘세종 1446’의 MD로 일월오봉도 손수건 + 메탈스티커 + 엽서 5종 세트 + 전통 족자 떡메모지 + 책끈갈피(책끈에 끼워 사용하는 책갈피)의 알찬 구성으로 준비되었습니다.세종의 서한은 국립중앙박물관 용극장 세종1446 MD 부스에서 만나보실 수 있습니다.#세종의서한 #세종1446 #1446 #뮤지컬1446 #뮤지컬세종1446 #국립중앙박물관 #용극장 #hj컬쳐 #글입다 #글입다공방 #뮤지컬MD #뮤지컬굿즈 #굿즈 #세종대왕 #한글 #한글날 #곤룡포핳. 취저 🔫🔫🔫"
26,2019-10-05 23.12.52 2148026813421736058_국립중앙박물관.jpg,서울#가족여행#볶음밥과수박3조각먹고안먹겠다고해서약간빡친아침식사#정훈이처음타본지하철#재미있다고하지만표정은#남대문시장찍고#국립중앙박물관#반가사유상미소#지친심신을달래줌#그래그만가자
