,name,text
0,2019-03-17 18.02.06 2001465698102225532_국립민속박물관.jpg,롤러스케이트 늘었어 놀이똥산 인사동 경북궁 국립민속박물관 날씨좋아 북촌 버스킹 마술 기분 상쾌 주말끝
1,2019-03-17 18.35.09 2001482337444263086_국립민속박물관.jpg,이번달만 양해를 구하고 한 뮤지엄키즈 아트키즈를 할까 뮤지엄키즈를 할까 고민하다가 뮤지엄은 아직 힘들 것 같아서 아트키즈를 하긴 했는데 이번 기회에 한 번 경험은 해볼 수 있어서 원래 일요일은 아빠가 없는 날도 있긴 하지만 있으면 둘이 놀라고 냅두는데 오늘은 내가 꼭 같이 갔으면 좋겠다고 해서 같이 왔다내가 어제 샤한테 아빠랑 같이 가긴 할 건데 수업할 때는 샤 혼자 들어가야 해 이랬더니 샤가 가만히 있다가 그럼 둘이 데이트 좀 해 둘이 데이트 안하잖아 어엉 짜쉭 아빠엄마 그냥 카페에 앉아있을꺼야솔직히 둘만 있어본 적이 언젠지 결혼하고 나서 둘이 있어본 적이 그래서 왠지 데이트라는 말이 어색어색샤 수업보내고 둘이 카페에 앉아서 각자 하고 싶은 거 했다그러다가 안이 궁금해서 살짝 둘러보다가 마루에 앉아있는 거 발견 몰래 사진도 찍음 그러다가 나와서 각자 시간을 보내다가 샤가 나와서 가서 수업한 거 설명 들었다선생님께서 나에게 따로 다 살이고 샤 혼자 살이라 조금 힘들어하긴 했는데 아주 잘 따라와줬단다샤가 문화를 접해보는 건 좋긴 하지만 나는 역사를 공부하는게 우선이라고 생각해서 고민했는데 그건 초등학생부터 하는게 좋을 듯초등학생 되면 역사 쪽으로 수업을 들어볼까 생각중이다고궁 다니는 수업도 하고근데 아직은 아트키즈가 맞는듯 선생님 설명 듣고 카페에 앉아서 오늘 한 것들을 쭈욱 같이 봤다선생님이 다 못했으니깐 집에 가서 하라고 했는데 샤는 다 해서 그냥 쭉 다시 봤다그리고 고궁박물관에 가보려고 경복궁 지나서 가는데 오늘 날이 너무너무 좋음 진짜 너무 다행이다 날씨 좋아서왠지 날이 좋은 날 관광을 오신 분들에게 너무 고맙미세먼지 있었으면 왠지 미안한 마음이 들었을 것 같다 경복궁 지나면서 사진도 찍고 돌아다니면서 고궁박물관으로 갔다원래 배움터도 가보려고 했는데 가니깐 일요일 공휴일 주 토요일은 휴관 그런 말 없었잖아요 일부러 겸사겸사 왔는데 아쉽아쉬워서 들어온 김에 지하 층만 쭉 보는데 셋이서 자격루가 너무 신기해서 아주 홀릭때마침 우리가 서 있을 때 북 울리고그리고 벽에 자격루가 어떻게 작동을 하는 건지 영상으로 보여주는데 아주 셋이서 신기해서 진짜 그 방식이 너무 신기해서 셋이서 멍 때리고 봄지하 층 쭉 보고 국립현대미술관에서 산 리틀디지이너스케치북을 차에서 신나게 하고 병문안 고고 했다이번달 일요일 찬스는 끝이구만 아이폰 살 살여아 아이와갈만한곳 아이와가볼만한곳 서울 국립민속박물관 민속박물관 생각하는박물관 뮤지엄키즈 박물관수업 박물관 경복궁 고궁박물관 국립고궁박물관 주말나들이 미세먼지굿 베베베베 백설공주
2,2019-03-17 18.50.16 2001489941808678475_국립민속박물관.jpg,국립민속박물관까지구경하고옷갈아입고 신본에서 맘마머꼬 한강카페에서 쥬스마시고집에 가기싫단다 딸스타그램 자매스타그램 꽃자매 육아스타그램 육아일상 주말나들이 경복궁 국립민속박물관 추억의거리 어린이박물관 신본 한강 한강카페 르꽁뜨 유주부띠끄 로아앤제인
3,2019-03-17 19.11.11 2001500478218938033_국립민속박물관.jpg,모델 인물사진 감성사진 프로필촬영 피팅모델 국립민속박물관 스튜디오데이드림
4,2019-03-17 19.27.49 2001508851409760604_국립민속박물관.jpg,유진 인물 인물촬영 모델 모델사진 촬영회 포랩 포랩촬영회 페이모델 무페이모델 일반인모델 출사 감성사진 개인화보 스냅 경성의복 국립민속박물관
5,2019-03-17 19.36.42 2001513321590485850_국립민속박물관.jpg,캐논코리아 레트로 인물사진 모델 민속박물관 민속박물관추억의거리 복고 추억의거리 응답하라 경복궁 국립민속박물관 컨셉 국립민속박물관추억의거리 컨셉사진 컨셉촬영 캐논코리아
6,2019-03-17 20.19.19 2001534768625502081_국립민속박물관.jpg,일요일밤 하얗게 불태웠다 하루를 꽉 채우게 보낸 날은 뿌듯허다 몸은 피곤할지라도 일요일저녁 마무으리 경복궁 경복궁데이트 가족나들이 국립민속박물관
7,2019-03-17 20.30.33 2001540416499114497_국립민속박물관.jpg,힘든 하루였다내려죠 걸을래 안가 아빠 아빠 아빠 안아무한반복 우리가는길 반대 방향으로만 가고 싶은 청개구리 같은 꼬맹이 국립민속박물관 어린이박물관 개과고양이와구슬 곧 개월 주말육아 비글같은아들과함께 열두번욱함 날씨오늘만같았으면
8,2019-03-17 20.34.54 2001542611153079218_국립민속박물관.jpg,즐거운일요일 티처투어 역사투어 암사동산사유적지 국립민속박물관 우리는한조 네식구다른곳 엄마아빠가평 지율딸기농장 언니는수업중 미세먼지없음 화창한봄 우리넷이 다른곳에서 보낸 일요일 너희둘이 좋은곳에서 좋은시간 보낸날 남자친구들만 있어서 걱정했는데 매여울아이들진짜 좋은친구들 좋은샘들과 좋은 추억많이 쌓길 오늘은선사시대 좋은수업 티처투어
9,2019-03-17 21.41.34 2001576166449665740_국립민속박물관.jpg,늦잠 자고 일어나서 창밖보니하늘이 넘 맑아서 부랴부랴 외출준비하고오랜만에 온 삼청동 북촌 걷기 좋은 날씨에 여기저기 구경하며즐거운 주말 데이트 성공
