,name,text
0,2016-05-18 07.59.18 1252468976642955408_britishmuseum.jpg,#museum #london #britishmuseum #britain
1,2016-05-31 02.28.42 1261724663775542019_britishmuseum.jpg,#exploreengland #london #britishmuseum #sculpture #history
2,2016-05-31 02.30.07 1261725373191732010_britishmuseum.jpg,#exploreengland #britishmuseum #sculpture #angryteacher
3,2016-05-31 02.32.58 1261726809354976090_britishmuseum.jpg,#britishmuseum #sculpture
4,2016-09-11 17.57.30 1336844042999043082_britishmuseum.jpg,#britishmuseum
5,2017-01-10 21.47.45 1424657794128339304_britishmuseum.jpg,🏛 #BritishMuseum #BritishMuseum🇬🇧 #Museum___________________________________________________#Museums #MuseumLife #London🇬🇧 #London #LondonCalling #TimeOutLondon #ThisIsLondon #VisitLondon #ExploreLondon #Londonist #LondonCity #MyLondon #Architectures #ArchitectureLove #ArchitecturePhotography #ArchitectureLover #ArchitectureLovers
6,2017-05-06 18.48.20 1508641479063674118_britishmuseum.jpg,🇬🇧🏛️ #BritishMuseum #London #England #Britain #deathbyfishnchips
7,2017-07-13 04.45.17 1557501905411189341_britishmuseum.jpg,classics trippp🏛.....#london #tourist #museum #gallery #britishmuseum #history #classics #classicalcivilisation #ancienthistory #explore #knowledge #artifacts #displays #londontown #city #architecture #photography #londonphotography #building #architecturephotography
8,2017-07-28 06.30.18 1568426395918278937_britishmuseum.jpg,#britishmuseum #london #uk
9,2017-09-08 04.35.03 1598808976249328678_britishmuseum.jpg,#interiordesign #antique #interiores #homedecor #antiquefurniture #homesweethome #ajman #museumquality #luxury #luxurylife #luxerystyle #interiorismo #doha #qatar#plates #architecture #louisvuitton #hermes #islamicart #ajman #beyrut #pottery #iznikpottery #ottomanarts #qatar #doha #louvre #britishmuseum #bestceramics #museumquartier #bestizniktileshop #bestartwork  #bestplace @albassamiah
10,2017-10-05 05.12.35 1618396810534059254_britishmuseum.jpg,Beautiful London streets - 2017.....#nikonphotography #nikonartists #nikon #nikoneurope #nikonaustralia #nikonasia #bbctravel #travelphotography #photography #travelgram #ig_shotz #picoftheday #streetphotography #yourshotphotographer #earthpix #nakedplanet #lonelyplanet #beautifuldestinations #landscape #uk #england #travel #britishmuseum #travelblogger #lightroom #london #streetphotography
11,2017-10-12 06.35.49 1623512134812298351_britishmuseum.jpg,#नंदि💎🕉🕉💎#britishmuseum #London #shiv 💎🕉🕉💎
12,2017-10-16 21.26.46 1626859667152140775_britishmuseum.jpg,#britishmuseum #travel #london
13,2017-10-16 22.13.34 1626883216843563701_britishmuseum.jpg,#londonlifestyle #london #travel #cocas #lifestyle #bloggerstyle #instafashion #fashionlover #influencer #londoner #bloggerstyle #seetheworld #britishmuseum #londoneratheart #instafashion
14,2017-11-23 11.05.38 1654088514051284726_britishmuseum.jpg,British Museum🏛🏛🏛•••🔝 #friends #smile #instagood #life #food #likeforlike #toptags #cute #happy #tbt #girl #fashion #instalike #followme #family #follow #nature #igdayly #instafollow #picoftheday #likeme #instamood #photooftheday #repost #igers #like4like #selfie #instadaily #likelike #britishmuseum
