,name,text
0,2019-08-09 22.28.20 2106692187398906677_metropolitanmuseumofart.jpg,#nyc #metropolitanmuseumofart
1,2019-08-09 22.46.45 2106701456584541945_metropolitanmuseumofart.jpg,#art #artist #metropolitanmuseumofart #design #designer
2,2019-08-09 22.56.09 2106706187904352152_metropolitanmuseumofart.jpg,#newyorkcityplants #metropolitanmuseumofart #bathesdafountain
3,2019-08-09 23.10.27 2106713383358522820_metropolitanmuseumofart.jpg,tagging goes back hundreds of years y’all...graffiti from 1819•...•#ancientgraffiti #metropolitanmuseumofart #peachesinthebigcity #graffiti
4,2019-08-09 23.30.02 2106723238779705874_metropolitanmuseumofart.jpg,the metropolitan museum of art#usa #newyorktrip #metropolitanmuseumofart #xiangjungeng
5,2019-08-09 23.41.51 2106729189952863780_metropolitanmuseumofart.jpg,"Saw the Kyoto show at @the_met_museum_of_art again. I highly recommend it. Felt a profound sense of kinship with the work, some of it is just instinctual, as if I've held the paintings from the past edo period and more in my heart, in my senses.. the diaphanous worlds unfolding, the ground and sky as one...the vessels and bodies of water and wind, ornamental and simple... wonderful to feel my new work of innerscape paintings having connective tissue with the 17th century works and still being wholly contemporary engagements."
6,2019-08-09 23.49.58 2106733273175968510_metropolitanmuseumofart.jpg,Night at the Museum. View from the rooftop of the Metropolitan Museum of Art at dusk. With the lovely @annenreamer and hubby!••#metropolitanmuseumofart #metropolitanmuseumrooftop #centralpark #newyorkcity #newyork #nikonnofilter #nikonphotographer #architecture #architecturephotography #architecturalphotography #ig_nycity #what_i_saw_in_nyc #newyork_instagram #newyork_ig #nyc_primeshot #nyc_primeladies #explorenyc #explorenyctoday #nyloveyou #newyork_feature #picturesofnewyork #lovesnyc #loves_nyc #nycprimeshot #usaprimeshot #ilovenewyork #nycgo
7,2019-08-09 23.58.16 2106737450725521873_metropolitanmuseumofart.jpg,"Spent a weekend in NYC celebrating Lexie’s high school graduation with a trip to Hadestown. But first, brunch at The Plaza’s Palm Court. So wonderful to be there again, 28 years later, after first experiencing it with my dear friend with whom Lexie shares a name. ❤️ And then the Met, gelato and macchiatos at E.A.T., and Central Park. Lexie named the six turtles we saw in the Jacqueline Kennedy Onassis Reservoir after Henry the VIII’s wives because of course she did. (“Six” is headed to Broadway, btw!)...#palmcourt #plazahotel #shakshuka #islands #sappho #metropolitanmuseumofart #Wheatstacks #dogsalwaysdogs"
8,2019-08-10 00.12.30 2106744610999907934_metropolitanmuseumofart.jpg,Here is the companion Francois de Troy to the one I posted yesterday.  In this one the amorous advance is gently resisted.  These pictures are now seen through the lens of gender politics so that it is perhaps more difficult than at any previous time to appreciate the language of manners and intimated sexual intrigue they were meant to convey.  Paintings of astonishing delicacy and brilliance.  #newyork #metropolitanmuseumofart #amourous #languageoflove
9,2019-08-10 01.16.16 2106776706107668139_metropolitanmuseumofart.jpg,#newyorkcity #newyork #nyc #ny #manhattan #metropolitanmuseumofart #themet #museum #art #culture #tribal #mask #anthropology #history
