,name,text
0,2017-12-05 01.02.04 1662479881920081548_museedulouvre.jpg,Before sunrise / Before sunset ✨❣️ #paris #louvremuseum #museedulouvre #igersparis #love #monalisa #travelphotography #photooftheday #travelgram #instagood #instatravel #wanderlust #
1,2017-12-15 02.05.12 1669761572251011949_museedulouvre.jpg,"#tbt from our spontaneous trip to #Paris We could have enjoyed our visit to this worldwide popular museum more if we had found any information in English. At least the backyard looked pretty 😂❤️❤️❤️Spontene yaptigimiz Paris gezisinden bir tbt bu sefer. Dunyaca unlu Louvre muzesini ziyaret ettik ve cook begendik. Fakat ingilizce bilgi yok denecek kadar azdi ve turun basinda audio almadigimiza pisman olduk. Ama olsun, en azindan guzel manzaralar yakaladik 🥰❤️❤️❤️#theglobewander #visualwanderlust#travelblog #travelphoto #beautifulworld #explore #exploretheworld #exploreourearth #travelaroundtheworld #traveljunkie #discoverglobe #vacationgoals #travellifestyle #tweliketotravel #tatil #gezi #gezginfoto #museedulouvre #igparis #louvremuseum #fransa #travelinteresante #traveldiaries #explorer #travelfun #worldcaptures #aniyakala"
2,2018-01-05 00.34.00 1684935957383337225_museedulouvre.jpg,#france#paris#louvre#Франция#Париж#holiday#zimatattoo#travelblog#travelblogger#bestcity#beauty#beautiful#tattoo#happiness#beautifulgirls#girls#tattoostyle#tattoogirl#freedom#louvreparis#museedulouvre#travel#vacation#vacationvibes#zimatravel#лувр#styleblogger#fashionblogger
3,2018-01-05 05.14.55 1685077349602429774_museedulouvre.jpg,#france#paris#louvre#Франция#Париж#holiday#zimatattoo#travelblog#travelblogger#bestcity#beauty#beautiful#tattoo#brunette#beautifulgirls#girls#tattoostyle#tattoogirl#freedom#louvreparis#museedulouvre#travel#vacation#vacationvibes#zimatravel#лувр#styleblogger#fashionblogger
4,2018-01-07 15.53.43 1686848419304049328_museedulouvre.jpg,Nymph with Scorpion by Lorenzo Bartolini - Musée du Louvre #louvre #france #wanderlust #bw #memories #sculpture #artlife #artlovers #artphotography #bw_lovers #blackandwhite #blancynegro #blackandwhitephotography #noiretblanc #masterpiece #monochrome #sculptureart #sculpturephotography #sculpturelovers #artphotography #museumlovers #museumphotography #lalouvre #museedelouvre #louvremuseum #louvreparis #museedulouvre #lorenzobartolini
5,2018-01-13 22.45.32 1691404349793817740_museedulouvre.jpg,"A next door, local museum 😊#museedulouvre #louvre #paris #travelphotography #leica #france #sunnyday #light #magichour #frenchgarden #villedeparis #parisian #parisjetaime #quaideseine #rivedroite #capital #sundayfunday #palace #iamatraveler"
6,2018-02-02 02.03.07 1705274538622464516_museedulouvre.jpg,Mes versions de Paris Seine #vincentgramain #paris #france #laseine #crue #pariscrue #filmisnotdead #analogphotography #analog #ilford #noiretblanc #blackandwhite #pontdesarts #louvre #museedulouvre @museelouvre @mairiedeparis
7,2018-02-04 20.42.49 1707287646038253538_museedulouvre.jpg,#louvre #museedulouvre #france #paris
8,2018-02-15 04.03.24 1714757163007592430_museedulouvre.jpg,Pyramides Louvre #museedulouvre #paris #france #francia #smiley le #gay #gayar#gaymex #uniqlo #sometimes
9,2018-03-12 23.50.53 1733474236806069685_museedulouvre.jpg,#paris #louvre #museedulouvre #jardindestuileries #tuileriesgarden #automne #autumn #travel
10,2018-04-24 02.04.28 1763982045001991661_museedulouvre.jpg,#Paris #parismoments #museedulouvre
11,2018-05-02 08.59.01 1769988904154403963_museedulouvre.jpg,Nkikëez®ParisV-MONA-Art zbeul-#nkikëez #artsy #men #girl #monalisa #popart #paris #dubai #london #marrakech #outfit #kiks #streetart #gshock #photography #streetlife #fineart #modernart #artwork #luxury #drawing #behance #art #urbanstyle #wonderful #lifestyle #dailyart #street #doodle #museedulouvre #streetlife #museedulouvre
12,2018-05-25 09.33.40 1786676186936704191_museedulouvre.jpg,Sunset at the Louvre. #SociaLuxClubSLC#paris #louvre #museum #sunset #beautifuldestinations #wonderful_places #parisian #france #art #artist #arte #amazing #beautiful #pyramid #instagood #travel #travelgram #europe #instatravel #photography #photographer #photooftheday #picoftheday #museedulouvre
13,2018-05-25 12.38.05 1786769006482700153_museedulouvre.jpg,"#tenajbraher #tbt📷 #tbt ""beautiful memories"" #tbt❤️ #museumlouvre #france #París #louvre #muséedulouvre #museedulouvre #paseosenmuseos"
14,2018-06-13 21.39.30 1800812251797893622_museedulouvre.jpg,#MuseoDelLouvre 🇫🇷👨‍🎨😎🤘🏼😍 #paris #france #picoftheday #followforfollowback #museedulouvre #travel
15,2018-06-14 04.24.14 1801015955284166172_museedulouvre.jpg,Mission secrète 👍🏻😜 #louvre #museedulouvre #pyramidedulouvre
16,2018-07-10 23.36.17 1820439970918196706_museedulouvre.jpg,Ventana del Louvre#8mmlens #museedulouvre #urbanlandscape #streetview #streetphoto #arquitectura #architecture #window #piramidedulouvre #pyramidoflouvre #pyramidofthelouvre #glasspyramid  #louvre #paris #france #travel #instatravel #eyefish #fisheye
17,2018-08-04 23.28.07 1838555253679762344_museedulouvre.jpg,"The eye of a human being is a microscope, which makes the world seem bigger than it really is.  K.J ...................#paris #museedulouvre #france #nofilterneeded #louvre #france🇫🇷 #sun #nofilters #likeforlikes #like4likeback #l4like #like4likes #l4l #followforlikes #summer #nofilter #sunset #museum #🇫🇷 #nofilter"
18,2018-08-17 23.18.10 1847972333390732405_museedulouvre.jpg,#shooting #paris #museedulouvre #beauty
19,2018-08-28 11.54.48 1855600700126622416_museedulouvre.jpg,#versailles #mio #museedulouvre #histoire
20,2018-08-29 17.17.20 1856488029642272971_museedulouvre.jpg,« c’est fermé »..................#louvre #castle #place #places #city #cityscape #citykillerz #cityview #citylife #citywalk #city_explore #citybestpics #citygrammers #paris #parisienne #parisjetaime #capture #igo #iger #i #igers #igersfrance #igersparis #igtravel #louvremuseum #louvrepyramid #museedulouvre #lovers #photo
21,2018-09-15 19.06.28 1868864145911993566_museedulouvre.jpg,La pyramide inversée 😍💠 ⠀⠀ ⠀ ⠀ ⠀⠀#louvre #pyramide #pyramid #paris #france #french #carrousel #musee #museum #carrouseldulouvre #museedulouvre #pyramidedulouvre #art #artparis #visit #visitparis #parisian #parislove #parisjetaime #parisweloveyou #myparis #thisisparis #parisien #iloveparis #love #amazing #style #happyweekend #davincicode #thedavincicode @carrouseldulouvre @museelouvre
22,2018-09-21 21.56.27 1873298351878303854_museedulouvre.jpg,O doce chá do verão 🥤😋...#starbucks#drinks#tea#louvre#paris#france#verao#photography#sun#summer#foto#goodvibes#food #viagem #travel#instagood#instapic#fotografia #trip#travelblogger#cha#gelo#parisian#viagens#bebidas#museedulouvre
23,2018-09-22 06.58.01 1873570930811681620_museedulouvre.jpg,#art #museedulouvre #paris #france
24,2018-09-22 23.36.21 1874073408984422165_museedulouvre.jpg,Musée du Louvre .......#museedulouvre #france🇫🇷 #paris #uzbekistan #tashkent #samarkand #instagram #follow #l4l #love #photooftheday #photography #travel #best #friends #kind #followme #travelvlogger
25,2018-09-26 00.32.16 1876275767986832199_museedulouvre.jpg,#musées #museedulouvre
26,2018-10-04 21.58.26 1882721431718461238_museedulouvre.jpg,"Antonio Canova - ""Amore e Psiche""1787#arte #art #artisti #artist #canova #antoniocanova #louvre #museedulouvre #museum #museo #sculpture #scultura #amoreepsiche #amore #psiche #francia #france #parigi #paris #love #loveart #myphoto #photography #passion #storiadellarte #beautiful #bellezza #madeinitaly #tesori_italiani italiainart #artwork🎨"
27,2018-10-07 22.32.45 1884913037540100543_museedulouvre.jpg,Con mi amiga Lisa #lagioconda
28,2018-10-09 08.37.51 1885942368580295731_museedulouvre.jpg,"Mercure enlevant PsychéMusée du Louvre, Paris#museedulouvre #louvre #louvremuseum #sculpture #psyche #amour #love #amor #instalove #paris #instaparis #culture #patrimoine #heritage #mythology #beauty  #beaute #instabeauty #naked #god #mercure #mercury #instadaily #instamood #instagram #abduction #sensuality #aesthetic #art #instaart"
