,name,text
0,2019-09-10 05.44.40 2129379843825319531_tatemodern.jpg,We went to @studioolafureliasson exhibition #inreallife @tate and it was amazing!!! It’s on until 5th Jan 2020 so definitely go go go!!!!...#london #art #light #fog #interactiveart #exhibition #londonmuseum #museum #tatemodern #weekendfun #date
1,2019-09-10 05.46.13 2129380629316777357_tatemodern.jpg,Day out in london. #tatemodern
2,2019-09-10 05.46.53 2129380963049586544_tatemodern.jpg,"happy birthday, mummy pig"
3,2019-09-10 05.47.30 2129381270207563929_tatemodern.jpg,Exploring ‘In Real Life’ by @studioolafureliasson at the #tatemodern. Well worth the visit! #exhibition #orange #smoke #glow #sillouette #colourpop #lifeincolour #tatelondon #fineart #modernart #contemporaryart #artlondon #showlondon #orangeexplore #yellowlight #tomchaplinphoto
4,2019-09-10 05.49.15 2129382149317538578_tatemodern.jpg,🌆••#london #london🇬🇧 #londoner #londoncity #londonskyline #londonsunset #sunset #sunsets #tatemodern #tategallery #art #mirrormirror #photography #photographer #photographerlife #travel #travelphotography #skyline #skyscrapers #skyscraper #riverthames #colorful #colours
5,2019-09-10 05.54.07 2129384591273486356_tatemodern.jpg,"Does it fit? Does it work? Yes it does. Like many things in life. You can’t always know, if you don’t try, or allow it.  Frame with inserted frame. #instaart #painting #acrylpainting #acrylart #acryl  #abstractart #abstraktekunst #abstractpainting #art #kunst  #artwork #artist #artbasel #basel #fondationbeyeler #kunstmuseumbasel #fondationlouisvuitton #tatemodern #barbicancentre #davidevolanteart"
6,2019-09-10 05.55.20 2129385211611688376_tatemodern.jpg,추워서 야경은 못보겠다 😷
7,2019-09-10 06.00.31 2129387821206870035_tatemodern.jpg,#nataliagoncharova #tatemodern #mindblowing #gorgeous #costumedesign
8,2019-09-10 06.08.30 2129391839333320762_tatemodern.jpg,Woolly hat needed •••••••#lightroom #portraitphotography #portrait #portraits #portraitshoot #portraitinspiration #moody #moodyportrait #photographyart #fineartphotography #photoshop #infocus #outoffocus #silhouette #stpauls #stpaulscathederal #britishphotography #millenniumbridge #tatemodern
9,2019-09-10 06.12.56 2129394077135823120_tatemodern.jpg,Olafur Eliasson • In Real Life • Your blind passenger #tatemodern #olafureliasson #fogroom
10,2019-09-10 06.14.19 2129394769910561758_tatemodern.jpg,Kaari Upson ⠀⠀⠀⠀⠀⠀⠀⠀ ⠀ ⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⁣⠀⠀⠀⠀⁣⠀⠀⠀⠀⁣⠀⠀⠀⠀⁣⠀⠀⠀⠀⁣ ⠀⠀#kaariupson #contemporaryart #art #performanceart #installationart #nihilism #postvandalism #artistsoninstagram  #tatemodern #fineart #artwork #artdaily #artaesthetics #artoftheday #sculpture #installationart #instaartoftheday⠀
11,2019-09-10 06.16.33 2129395898019583584_tatemodern.jpg,In the black... #artecontemporanea #artemoderna #tatemodern #artesegnica #biennale #momanewyork #arteastratta #abstractpainter #painting #pittura #portfolio #artbook #artist #artwork #artista #graficart #guggenheimnewyork #blackandwhite #artforsale #minimalart #design #artgallery #art #arte #astrattismolirico #abstraktemalerei #fineart #galleryartk #arteinformale
12,2019-09-10 06.17.23 2129396313833632608_tatemodern.jpg,jcnorero.com#arte #color #art #newmodernart #lifestyle #painting #pintorchileno #style #culture #stories #newyork #musseum #artist #artcollection #artcollector #amazing #modernart #greatart #myart #paints #artoftheday #arts #artistsofinstagram #france #artfair #artsy #sothebys #tate #tatemodern #artecontemporaneo
13,2019-09-10 06.18.09 2129396697342701060_tatemodern.jpg,Olafur Eliasson: In Real Life🌫️🌈@studioolafureliasson@tate#tate #tatemodern #olafureliasson #studioolafureliasson #modernart #inreallife #youruncertainshadow #art #installationart #artexhibition #yourblindpassenger #exhibition #london #colour #light #shadow #interactiveart #fog #orange
14,2019-09-10 06.19.31 2129397388664656833_tatemodern.jpg,#tatemodern #olafureliasson
15,2019-09-10 06.20.12 2129397728102814882_tatemodern.jpg,Looking at stuff that means some things part one #tatemodern........#art #contemporaryart #tate #southbank #london
16,2019-09-10 06.21.22 2129398321612588099_tatemodern.jpg,#dirtybaby #dirty #baby #edruscha #tatemodern #tatemodernmuseum @tate
17,2019-09-10 06.25.45 2129400524336870505_tatemodern.jpg,Beigel Bake #owiba #london #england #tatemodern #bwstyleoftheday #blackandwhite #igblackandwhite #instagrambnw #blackandwhiteimage #blackandwhitephotography #bnw #bnw_captures #blackandwhiteonly #monochromatic #bnw_life #insta_bw  #beigelbakerybricklane  #bw_photooftheday  #bnwphotographer #blackandwhitecamera #instablackandwhite #bnw #instabnw #bnwofinstagram #bwstyleoftheday #bnw_mood #streetphotos #streetphoto_bnw #streetphotography #streetphoto_bw #streetcaptures #tatemodernlondon
18,2019-09-10 06.26.31 2129400910010877977_tatemodern.jpg,Looking at stuff that means some things part two #tatemodern........#art #contemporaryart #tate #london #southbank
